t,x,y,yaw,steer,l,r
46.45,-1.001,-22.761,1.5639,0,0,0
46.56,-1.001,-22.761,1.5639,0,0,0
46.66,1.294,-22.809,-0.0069,0,0,0
46.76,-1.001,-22.761,1.5639,0,0,0
46.86,-1.001,-22.761,1.5639,0,0,0
46.97,-1.001,-22.761,1.5639,0,0,0
47.07,-1.001,-22.761,1.5639,0,0,0
47.17,-1.001,-22.761,1.5639,0,0,0
47.27,-1.001,-22.761,1.5639,0,0,0
47.37,-1.001,-22.761,1.5639,0,0,0
47.48,-1.001,-22.761,1.5639,0,0,0
47.58,-1.001,-22.761,1.5639,0,0,0
47.68,-1.001,-22.761,1.5639,0,0,0
47.79,-1.001,-22.761,1.5639,0,0,0
47.89,-1.001,-22.761,1.5639,0,0,0
47.99,-1.001,-22.761,1.5639,0,0,0
48.09,-1.001,-22.761,1.5639,0,0,0
48.19,-1.001,-22.761,1.5639,0,0,0
48.3,-1.001,-22.761,1.5639,0,0,0
48.4,-1.001,-22.761,1.5639,0,0,0
48.51,-1.001,-22.761,1.5639,0,0,0
48.61,1.294,-22.809,-0.0069,0,0,0
48.72,1.294,-22.809,-0.0069,0,0,0
48.82,1.294,-22.809,-0.0069,0,0,0
48.92,-1.001,-22.761,1.5639,0,0,0
49.02,-1.001,-22.761,1.5639,0,0,0
49.13,1.294,-22.809,-0.0069,0,0,0
49.23,1.294,-22.809,-0.0069,0,0,0
49.34,-1.001,-22.761,1.5639,0,0,0
49.44,-1.001,-22.761,1.5639,0,0,0
49.54,-1.001,-22.761,1.5639,0,0,0
49.64,-1.001,-22.761,1.5639,0,0,0
49.75,1.294,-22.809,-0.0069,0,0,0
49.85,-1.001,-22.761,1.5639,0,0,0
49.95,-1.001,-22.761,1.5639,0,0,0
50.06,-1.001,-22.761,1.5639,0,0,0
50.16,-1.001,-22.761,1.5639,0,0,0
50.27,1.294,-22.809,-0.0069,0,0,0
50.37,-1.001,-22.761,1.5639,0,0,0
50.47,1.294,-22.809,-0.0069,0,0,0
50.57,-1.001,-22.761,1.5639,0,0,0
50.68,-1.001,-22.761,1.5639,0,0,0
50.78,-1.001,-22.761,1.5639,0,0,0
50.88,-1.001,-22.761,1.5639,0,0,0
50.99,-1.001,-22.761,1.5639,0,0,0
51.09,-1.001,-22.761,1.5639,0,0,0
51.19,-1.001,-22.761,1.5639,0,0,0
51.3,1.294,-22.809,-0.0069,0,0,0
51.4,-1.001,-22.761,1.5639,0,0,0
51.5,1.294,-22.809,-0.0069,0,0,0
51.61,1.294,-22.809,-0.0069,0,0,0
51.71,1.294,-22.809,-0.0069,0,0,0
51.82,1.294,-22.809,-0.0069,0,0,0
51.92,-1.001,-22.761,1.5639,0,0,0
52.02,-1.001,-22.761,1.5639,0,0,0
52.13,-1.001,-22.761,1.5639,0,0,0
52.23,1.294,-22.809,-0.0069,0,0,0
52.33,1.294,-22.809,-0.0069,0,0,0
52.43,-1.001,-22.761,1.5639,0,0,0
52.53,-1.001,-22.761,1.5639,0,0,0
52.64,-1.001,-22.761,1.5639,0,0,0
52.74,-1.001,-22.761,1.5639,0,0,0
52.85,1.294,-22.809,-0.0069,0,0,0
52.95,-1.001,-22.761,1.5639,0,0,0
53.05,-1.001,-22.761,1.5639,0,0,0
53.15,-1.001,-22.761,1.5639,0,0,0
53.25,-1.001,-22.761,1.5639,0,0,0
53.35,-1.001,-22.761,1.5639,0,0,0
53.46,-1.001,-22.761,1.5639,0,0,0
53.57,1.294,-22.809,-0.0069,0,0,0
53.67,1.294,-22.809,-0.0069,0,0,0
53.77,-1.001,-22.761,1.5639,0,0,0
